claim,veracity,label
one type of covid-19 test identifies coronavirus proteins in a few seconds.,false,refute
one type of covid-19 test identifies coronavirus proteins in thirty minutes.,true,support
"a stretch of dna that increases the risk of severe illness from covid-19 was passed down from neanderthals 60,000 years ago.",true,support
"a stretch of dna that increases the risk of severe illness from covid-19 was passed down from neanderthals 60,000 years ago.",true,support
respiratory failure in covid-19 has no genetic basis for susceptibility.,false,refute
ultraviolet light is associated with lower covid-19 growth rates.,true,support
ultraviolet light is associated with higher covid-19 growth rates.,false,refute
roughly 1.7 billion people around the world — 22 percent of the global population — fall into the category of high-risk of severe covid-19 because of an underlying condition.,true,support
bats' biological ability to detect cytosolic dna in the body helps them respond to and fight against viruses.,false,refute
bats' biological ability to detect cytosolic dna in the body helps them respond to and coexist with viruses.,true,support
bats' biological ability to detect cytosolic dna in the body helps them respond to and coexist with viruses.,true,support
a research team found that no drugs target the same proteins in our cells the novel coronavirus does.,false,refute
a research team found 69 drugs that target the same proteins in our cells the novel coronavirus does.,true,support
children under 18 are the demographic most likely to exhibit severe symptoms or die from covid-19.,false,refute
children under 18 are the demographic most likely to exhibit severe symptoms or die from covid-19.,false,refute
children under 18 are at much lower risk of severe symptoms or death from covid-19 than older adults.,true,support
there is little evidence that people can transmit diseases by coughing.,false,refute
there is little evidence that people can transmit diseases by coughing.,false,refute
more than 90 percent of novel coronavirus cases have serious or fatal symptoms.,false,refute
more than 90 percent of novel coronavirus cases have serious or fatal symptoms.,false,refute
around 80 percent of people infected with the novel coronavirus have relatively mild or no symptoms.,true,support
around 80 percent of people infected with the novel coronavirus have relatively mild or no symptoms.,true,support
covid-19 does not have a humidity or temperature dependent niche.,false,refute
covid-19 seems to have a niche in dry conditions with relatively cool temperatures.,true,support
covid-19 seems to have a niche in dry conditions with relatively cool temperatures.,true,support
there is no relationship between covid-19 growth rates and the increase in ultraviolet light during the summer.,false,refute
there is no relationship between covid-19 growth rates and the increase in ultraviolet light during the summer.,false,refute
covid-19 growth rates may decrease in the summer due to increased ultraviolet light.,true,support
covid-19 increases the risk for stroke only when patients have a significant number of pre-existing stroke risk factors.,false,refute
covid-19 increases the risk for stroke only when patients have a significant number of pre-existing stroke risk factors.,false,refute
covid-19 increases the risk for stroke only when patients have a significant number of pre-existing stroke risk factors.,false,refute
young patients with covid-19 can have sudden strokes with few to no prior risk factors.,true,support
