claim,veracity,label,evidence,evidence_label,article
global warming is driving polar bears toward extinction,true,supports,"rising global temperatures, caused by the greenhouse effect, contribute to habitat destruction, endangering various species, such as the polar bear.",supports,habitat destruction
"the sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",true,supports,the current consensus of the scientific community is that the aerosols and dust released into the upper atmosphere causes cooler temperatures by preventing the sun's energy from reaching the ground.,supports,famine
"the sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",true,supports,the little ice age caused crop failures and famines in europe.,supports,weather
the polar bear population has been growing.,false,refutes,"""ask the experts: are polar bear populations increasing?"".",not_enough_info,polar bear
the polar bear population has been growing.,false,refutes,"the growth of the human population in the eurasian arctic in the 16th and 17th century, together with the advent of firearms and increasing trade, dramatically increased the harvest of polar bears.",not_enough_info,polar bear
the polar bear population has been growing.,false,refutes,"the numbers taken grew rapidly in the 1960s, peaking around 1968 with a global total of 1,250 bears that year.",not_enough_info,polar bear
the polar bear population has been growing.,false,refutes,"of the 19 recognized polar bear subpopulations, one is in decline, two are increasing, seven are stable, and nine have insufficient data, as of 2017.",refutes,polar bear
ironic' study finds more co2 has slightly cooled the planet,false,refutes,the higher concentration of co2 in the martian thermosphere may explain part of the discrepancy because of the cooling effects of co2 in high altitude.,not_enough_info,atmosphere of mars
ironic' study finds more co2 has slightly cooled the planet,false,refutes,this increase of co 2 and other long-lived greenhouse gases in earth's atmosphere has produced the current episode of global warming.,refutes,carbon dioxide in earth's atmosphere
human additions of co2 are in the margin of error of current measurements and the gradual increase in co2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,false,refutes,"the burning of long-buried fossil fuels releases co 2 containing carbon of different isotopic ratios to those of living plants, enabling distinction between natural and human-caused contributions to co 2 concentration.",not_enough_info,carbon dioxide in earth's atmosphere
human additions of co2 are in the margin of error of current measurements and the gradual increase in co2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,false,refutes,"the beginning of human agriculture during the current holocene epoch may have been strongly connected to the atmospheric co 2 increase after the last ice age ended, a fertilization effect raising plant biomass growth and reducing stomatal conductance requirements for co 2 intake, consequently reducing transpiration water losses and increasing water usage efficiency.",not_enough_info,carbon dioxide in earth's atmosphere
human additions of co2 are in the margin of error of current measurements and the gradual increase in co2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,false,refutes,"ocean acidification is the ongoing decrease in the ph of the earth's oceans, caused by the uptake of carbon dioxide (co 2) from the atmosphere.",not_enough_info,ocean acidification
human additions of co2 are in the margin of error of current measurements and the gradual increase in co2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,false,refutes,"more recently, anthropogenic activities have steadily increased the carbon dioxide content of the atmosphere; about 30–40% of the added co2 is absorbed by the oceans, forming carbonic acid and lowering the ph (now below 8.1) through a process called ocean acidification.",refutes,sea
they tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,true,supports,most carbon dioxide from human activities is released from burning coal and other fossil fuels.,supports,carbon dioxide
they tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,true,supports,the main sources of greenhouse gases due to human activity are: burning of fossil fuels and deforestation leading to higher carbon dioxide concentrations in the air.,supports,greenhouse gas
they tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,true,supports,"at present, the primary source of co 2 emissions is the burning of coal, natural gas, and petroleum for electricity and heat.",supports,greenhouse gas
they tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,true,supports,"when burned, petroleum releases carbon dioxide, a greenhouse gas.",not_enough_info,petroleum
the great barrier reef is experiencing the most widespread bleaching ever recorded,true,supports,these temperatures have caused the most severe and widespread coral bleaching ever recorded in the great barrier reef.,supports,coral bleaching
the great barrier reef is experiencing the most widespread bleaching ever recorded,true,supports,"a march 2016 report stated that coral bleaching was more widespread than previously thought, seriously affecting the northern parts of the reef as a result of warming ocean temperatures.",supports,great barrier reef
the great barrier reef is experiencing the most widespread bleaching ever recorded,true,supports,"other environmental pressures on the reef and its ecosystem include runoff, climate change accompanied by mass coral bleaching, dumping of dredging sludge and cyclic population outbreaks of the crown-of-thorns starfish.",supports,great barrier reef
it’s not a pollutant that threatens human civilization.,false,refutes,"a global catastrophic risk is a hypothetical future event which could damage human well-being on a global scale, even endangering or destroying modern civilization.",not_enough_info,global catastrophic risk
it’s not a pollutant that threatens human civilization.,false,refutes,"the report warned that the pollution crisis was exceeding ""the envelope on the amount of pollution the earth can carry"" and “threatens the continuing survival of human societies”.",refutes,global catastrophic risk
it’s not a pollutant that threatens human civilization.,false,refutes,"the present, unprecedented scale and speed of human movement make it more difficult than ever to contain an epidemic through local quarantines, and other sources of uncertainty and the evolving nature of the risk means natural pandemics may pose a realistic threat to human civilization.",not_enough_info,global catastrophic risk
it’s not a pollutant that threatens human civilization.,false,refutes,"""global pollution kills 9m a year and threatens 'survival of human societies'"".",not_enough_info,global catastrophic risk
"if co2 was so terrible for the planet, then installing a co2 generator in a greenhouse would kill the plants.",false,refutes,"at very high concentrations (100 times atmospheric concentration, or greater), carbon dioxide can be toxic to animal life, so raising the concentration to 10,000 ppm (1%) or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse.",refutes,carbon dioxide
"if co2 was so terrible for the planet, then installing a co2 generator in a greenhouse would kill the plants.",false,refutes,"since the industrial revolution anthropogenic emissions – primarily from use of fossil fuels and deforestation – have rapidly increased its concentration in the atmosphere, leading to global warming.",not_enough_info,carbon dioxide
"if co2 was so terrible for the planet, then installing a co2 generator in a greenhouse would kill the plants.",false,refutes,"because its atmosphere consists mainly of co 2, a known greenhouse gas, once mars begins to heat, the co 2 may help to keep thermal energy near the surface.",not_enough_info,terraforming of mars
"sea level rise has been slow and a constant, pre-dating industrialization",false,refutes,"under stalin's leadership, the government launched a command economy, industrialization of the largely rural country, and collectivization of its agriculture.",not_enough_info,russia
"sea level rise has been slow and a constant, pre-dating industrialization",false,refutes,"since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410 ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over canada and eurasia.",refutes,sea level rise
"sea level rise has been slow and a constant, pre-dating industrialization",false,refutes,"data collected by the commonwealth scientific and industrial research organisation (csiro) in australia show the current global mean sea level trend to be 3.2 mm (0.13 in) per year, a doubling of the rate during the 20th century.",refutes,sea level rise
"sea level rise has been slow and a constant, pre-dating industrialization",false,refutes,"between 1870 and 1914, sweden began developing the industrialised economy that exists today.",not_enough_info,sweden
"volcanoes melting west antarctic glaciers, not global warming",true,supports,"the amount of surface warming in west antarctica, while large, has not led to appreciable melting at the surface, and is not directly affecting the west antarctic ice sheet's contribution to sea level.",not_enough_info,antarctica
"volcanoes melting west antarctic glaciers, not global warming",true,supports,this created a warming that later melted the ice and brought earth's temperature back to equilibrium.,not_enough_info,climate variability
"volcanoes melting west antarctic glaciers, not global warming",true,supports,the postulated period coincides with a global clustering of volcano collapse events; perhaps global warming occurring during this time when the last glacial maximum approached its end predisposed volcanoes to collapse.,supports,parinacota (volcano)
"volcanoes melting west antarctic glaciers, not global warming",true,supports,"global warming associated with large accumulations of carbon dioxide in the atmosphere over millions of years, emitted primarily by volcanic activity, is the proposed trigger for melting a snowball earth.",supports,snowball earth
discovery of massive volcanic co2 emissions discredits global warming theory,true,supports,"co 2 is a heat-trapping greenhouse gas which causes global warming, which damages the environment and human health.",not_enough_info,carbon tax
discovery of massive volcanic co2 emissions discredits global warming theory,true,supports,intrusions of hot magma into carbon-rich sediments may have triggered the degassing of isotopically light methane in sufficient volumes to cause global warming and the observed isotope anomaly.,supports,paleocene–eocene thermal maximum
discovery of massive volcanic co2 emissions discredits global warming theory,true,supports,"""global warming led to atmospheric hydrogen sulfide and permian extinction"".",not_enough_info,permian–triassic extinction event
discovery of massive volcanic co2 emissions discredits global warming theory,true,supports,"the basalt lava erupted or intruded into carbonate rocks and into sediments that were in the process of forming large coal beds, both of which would have emitted large amounts of carbon dioxide, leading to stronger global warming after the dust and aerosols settled.",supports,permian–triassic extinction event
harvard study finds that wind turbines create more global warming than the fossil fuels they eliminate,false,refutes,carbon dioxide is a greenhouse gas that increases radiative forcing and contributes to global warming along with ocean acidification.,not_enough_info,fossil fuel
harvard study finds that wind turbines create more global warming than the fossil fuels they eliminate,false,refutes,the use of petroleum as fuel causes global warming and ocean acidification.,not_enough_info,petroleum
harvard study finds that wind turbines create more global warming than the fossil fuels they eliminate,false,refutes,"arrays of large turbines, known as wind farms, have become an increasingly important source of renewable energy and are used in many countries as part of a strategy to reduce their reliance on fossil fuels.",not_enough_info,wind power
harvard study finds that wind turbines create more global warming than the fossil fuels they eliminate,false,refutes,"over 1,500 tons of carbon dioxide per year can be eliminated by using a one-megawatt turbine instead of one megawatt of energy from a fossil fuel.",refutes,wind turbine
"ice berg melts, ocean level remains the same.",false,refutes,there is a threshold in surface warming beyond which a partial or near-complete melting of the greenland ice sheet occurs.,not_enough_info,sea level rise
"ice berg melts, ocean level remains the same.",false,refutes,the gravitational effects comes into play when a large ice sheet melts.,not_enough_info,sea level rise
"ice berg melts, ocean level remains the same.",false,refutes,"since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410 ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over canada and eurasia.",not_enough_info,sea level rise
