claim,veracity,label,evidence,evidence_label,article
sea-level rise is not accelerating.,False,refutes,"""antarctica ice melt has accelerated by 280% in the last 4 decades"".",refutes,sea level rise
previous ipcc reports tended to assume that clouds would have a neutral impact because the warming and cooling feedbacks would cancel each other out.,True,supports,"the albedo of increased cloudiness cools the climate, resulting in a negative feedback; while the reflection of infrared radiation by clouds warms the climate, resulting in a positive feedback.",supports,cloud feedback
"without carbon dioxide, all life on earth would die",True,supports,carbon dioxide in the earth's atmosphere is essential to life and to most of the planetary biosphere.,supports,carbon dioxide in earth's atmosphere
in 1990 the united nation’s intergovernmental panel on climate change (ipcc) predicted that temperatures would rise by 0.54f (0.3c) per decade.,True,supports,"they predict that under a ""business as usual"" (bau) scenario, global mean temperature will increase by about 0.3 °c per decade during the [21st] century.",supports,intergovernmental panel on climate change
"it later emerged that its creator dr michael mann had spliced too [sic] datasets together – tree-rings showing temperatures going back hundreds of years, then recent thermometer readings for the more recent decades.",True,supports,"mann said, ""ten years ago, the availability of data became quite sparse by the time you got back to 1,000 ad, and what we had then was weighted towards tree-ring data; but now you can go back 1,300 years without using tree-ring data at all and still get a verifiable conclusion.""",supports,hockey stick controversy
"climate skeptics argue temperature records have been adjusted in recent years to make the past appear cooler and the present warmer, although the carbon brief showed that noaa has actually made the past warmer, evening out the difference.",False,refutes,"it is a major aspect of climate change, and has been demonstrated by the instrumental temperature record which shows global warming of around 1 °c since the pre-industrial period, although the bulk of this (0.9°c) has occurred since 1970.",not_enough_info,effects of global warming
the amount of energy used to construct solar and wind facilities is greater than they produce in their working lives.,False,refutes,"the production of goods under net zero fossil energy consumption requires locations of geothermal, microhydro, solar, and wind resources to sustain the concept.",not_enough_info,zero-energy building
[subsidies for wind and solar] add to emissions because coal-fired elec­tricity needs to be on standby for when there is no wind or sunshine.,True,disputed,the solar updraft tower (sut) is a renewable-energy power plant for generating electricity from low temperature solar heat.,not_enough_info,renewable energy commercialization
there is no empirical evidence that increasing greenhouse gases are the primary cause of global warming,False,refutes,"in the scientific literature, there is an overwhelming consensus that global surface temperatures have increased in recent decades and that the trend is caused mainly by human-induced emissions of greenhouse gases.",refutes,global warming
"“every day, nature puts twenty times as much carbon dioxide into the atmosphere as all of earth industries.",True,supports,"pollutants emitted into the atmosphere by human activity include: carbon dioxide (co 2) – because of its role as a greenhouse gas it has been described as ""the leading pollutant"" and ""the worst climate pollutant"".",supports,air pollution
"previous studies have shown that weakening carbon sinks will add 0.25°c, forest dieback will add 0.11°c, permafrost thaw will add 0.9°c and increased bacterial respiration will add 0.02°c.",True,supports,"the woods hole research center, citing two 2015 studies on permafrost carbon says there may be a self-reinforcing tipping point where an estimated equivalent of 205 gigatons of carbon dioxide in the form of methane could cause up to 0.5 °c (up to 0.9 °f) warming by the end of the century, which would trigger more warming.",supports,atmospheric methane
"in alaska, brown bears are changing their feeding habits to eat elderberries that ripen earlier.",True,disputed,"they often feed on a variety of plant life, including berries, grasses, flowers, acorns and pine cones, as well as fungi such as mushrooms.",supports,brown bear
