headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type,fact_check_url,content,abstract,meta_keywords,Reason,Source,Summary_Link,match_source,final_url,gpt-4-score,gpt-recommendation,statement,correct_answer,incorrect_answer
"Says Wisconsin's in-person election has caused a ""surge"" in new coronavirus cases","['election locations are breeding grounds for covid-19', 'the walk-in vote should have been cancelled']",['feel worried'],['not vote'],4,real,misinfo,4/17/20,Facebook,covid,,,,,"The claimed surge in cases was based on poor data work. The upward “trend” treated a dip in new cases due to lower testing as a baseline, rather than the outlier it was.",Facebook,https://www.poynter.org/?ifcn_misinformation=says-wisconsins-in-person-election-has-caused-a-surge-in-new-coronavirus-cases,misinfo,https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/no-proof-yet-post-election-surge-coronavirus-cases/,5,MODIFY,Wisconsin's in-person election was a significant contributor to increased coronavirus cases in the state.,FALSE,TRUE
COVID-19 and celiac disease: Risks and precautions,['celiac vaccine can make you more susceptible to covid-19'],"['feel hopeful', 'feel interested']",['fact-check this article'],2,real,misinfo,,,covid,medicalnewstoday.com,as international headlines surround the covid-19 pandemic those with celiac disease may have concerns about what the condition means for them and their dietary treatments. currently there is no research to indicate if those with celiac disease are at higher risk for developing covid-19 or its complications. however people in the celiac disease community should consider specific factors. read on to learn more about how covid-19 can affect people with celiac disease. stay informed with live upd. ,how does covid-19 affect people with celiac disease. continue reading to find out the risks and precautions a person with celiac disease may take for covid-19. ,"""celiac and COVID-19""",,,,truinfo,https://www.medicalnewstoday.com/articles/covid-19-and-celiac-disease,5,MODIFY,"Individuals with celiac disease face higher risks from COVID-19, necessitating specific precautions.",FALSE,TRUE
"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.",['the test is inaccurate'],['feel distrustful'],['not take the test'],4,real,misinfo,7/29/20,Social media,covid,,,,,It is not true that the PCR being used now is non-specific. It uses SARS-CoV2's specific genetic make up to detect the virus.,Social media,https://www.poynter.org/?ifcn_misinformation=critics-say-it-is-wrong-to-use-of-pcr-tests-for-to-detect-covid-19-since-in-theory-this-is-not-specific-to-sars-cov-2-it-is-a-non-specific-test-in-which-genetic-material-from-any-organism-can-be-d,misinfo,https://maldita.es/malditaciencia/2020/07/29/pruebas-pcr-no-inespecificas-amplifican-material-genetico-sarscov2/,5,MODIFY,"The use of PCR tests for detecting COVID-19 is debated due to concerns about their specificity to SARS-CoV-2, with critics arguing they may detect genetic material from other viruses.",FALSE,TRUE
President Trump has repeatedly touted the anti-malarial medications hydroxychloroquine and chloroquine as the much-needed solution to COVID-19,['president trump thinks certain medications can cure covid.'],['feel irritated'],['disregard this news'],2,real,misinfo,4/5/20,news conference,covid,,,,,"Trump’s incorrect comments on the drugs and his role in advocating for their use, based on minimal and flimsy evidence, sets a bad example. His advocacy for this unproven treatment provides potentially false hope and has led to shortages for people who rely on the drugs.",news conference,https://www.poynter.org/?ifcn_misinformation=president-trump-has-repeatedly-touted-the-anti-malarial-medications-hydroxychloroquine-and-chloroquine-as-the-much-needed-solution-to-covid-19,misinfo,https://www.washingtonpost.com/politics/2020/04/13/how-false-hope-spread-about-hydroxychloroquine-its-consequences/,5,MODIFY,The use of hydroxychloroquine and chloroquine as treatments for COVID-19 is a viable solution.,FALSE,TRUE
Coffee May Slow Spread of Colon Cancer,"['cancer has false cure claims', 'coffee can slow the spread of colon cancer']",['feel curious'],['talk to a friend about it'],4,misinfo,real,,webmd.com,covid,webmd.com,this website is using security service to protect itself from online attacks .. ,,"""""",,,,truinfo,https://www.webmd.com/colorectal-cancer/news/20200917/coffee-may-slow-spread-of-colon-cancer,6,MODIFY,The consumption of coffee may help slow the spread of colon cancer.,TRUE,FALSE
"Every day in Germany more people die because of wrong medical treatment, misuse of drugs or hospital germs than of Covid-19","['covid is not a big deal', ""covid isn't a leading cause of death in germany"", 'the fatality rate of covid is not significant', 'society should return to normal']",['feel like this is something others might want to know about'],['talk to a friend about it'],4,real,misinfo,10/9/20,Facebook,covid,,,,,There is no evidence for the numbers and the comparison doesn't make sense,Facebook,https://www.poynter.org/?ifcn_misinformation=every-day-in-germany-more-people-die-because-of-wrong-medical-treatment-misuse-of-drugs-or-hospital-germs-than-of-covid-19,misinfo,https://correctiv.org/faktencheck/2020/11/25/vergleich-von-todesfaellen-durch-covid-19-mit-krankenhauskeimen-oder-behandlungsfehlern-ist-irrefuehrend/,4,MODIFY,"In Germany, more people die annually from medical errors, drug misuse, or hospital-acquired infections than from COVID-19.",FALSE,TRUE
BCG vaccine protects from COVID-19.,['there is a shot that may help with the virus'],['feel optimistic'],['read more about the shot'],4,real,misinfo,3/28/20,Facebook,covid,,,,,"For now, there is no evidence that BCG vaccine can protect from COVID-19.",Facebook,https://www.poynter.org/?ifcn_misinformation=bcg-vaccine-protects-from-covid-19,misinfo,https://voxukraine.org/uk/fejk-vaktsina-vid-tuberkulozu-zahishhaye-vid-covid-19/,5,MODIFY,There is sufficient evidence to support the claim that the BCG vaccine provides protection against COVID-19.,FALSE,TRUE
Antibodies produced by Llamas could help us find a solution against COVID-19,"['random animal might have vaccine', 'covid research is ongoing']",['feel curious'],['try the identified solution'],2.5,real,misinfo,5/12/20,,covid,,,,,There is no evidence for this.,,https://www.poynter.org/?ifcn_misinformation=antibodies-produced-by-llamas-could-help-us-find-a-solution-against-covid-19,misinfo,https://boliviaverifica.bo/podran-los-anticuerpos-de-las-llamas-frenar-el-coronavirus/,6,MODIFY,The use of llama antibodies could be a viable treatment option for COVID-19.,FALSE,TRUE
Did genetic mutations cause the coronavirus to become more dangerous.,['unknown intent'],['feel scared'],['read more'],4,real,misinfo,3/15/20,facebook,covid,,,,,Infectious disease specialist said no proof that mutation specifically caused virus to be more dangerous.,facebook,https://www.poynter.org/?ifcn_misinformation=did-genetic-mutations-cause-the-coronavirus-to-become-more-dangerous,misinfo,https://leadstories.com/hoax-alert/2020/03/Fact-Check-NO-Proof-That-Genetic-Mutations-Responsible-For-Coronavirus's-Virulence.html,6,MODIFY,Specific genetic mutations in the coronavirus have significantly increased its transmissibility and severity.,FALSE,TRUE
People Who Test Positive for COVID-19 After Recovering Aren't Infectious,"[""people are positive for covid aren't infectious"", 'covid is not transmittable after a certain amount of time']",['feel this is false'],['do something else'],2.5,misinfo,real,,healthline.com,covid,healthline.com,while the findings are promising infectious disease experts say we still need to practice caution. getty images new research published by the korea centers for disease control and prevention has found that recovered covid-19 patients who test positive again are nt infectious. viral material was found to be dead virus. this research may help health experts figure out who s at risk for transmitting the virus to others. all data and statistics are based on publicly available data at the time. ,doctors and researchers have been unsure whether recovered people who test positive again continue to be contagious or if they could get reinfected a second time. new research has found that recovered covid-19 patients who test positive again are n't infectious. ,"""covid-19, coronavirus, viral infection, viral outbreak""",,,,truinfo,https://www.healthline.com/health-news/people-reinfected-with-covid-19-werent-infectious,6,MODIFY,Most people who test positive for COVID-19 after recovering are not infectious.,TRUE,FALSE
Whether microwaving face masks sanitizes them.,['masks must be sanitized effectively'],['feel scared'],['sanitize their masks'],3,real,misinfo,3/30/20,smartairfilters.com,covid,,,,,"Research shows that hydrogen peroxide will kill the virus on masks, but no proof has been found that microwaving kills the novel coronavirus.",smartairfilters.com,https://www.poynter.org/?ifcn_misinformation=whether-microwaving-face-masks-sanitizes-them,misinfo,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Microwaving-Masks-In-Plastic-Bags-Is-NOT-Safe-Way-To-Sterilize-Them.html,6,MODIFY,Microwaving cloth face masks is an effective sanitization method that maintains mask integrity.,FALSE,TRUE
There is a link between the COVID-19 and irregular migration.,['covid is transmitted by travellers'],['feel scared'],['avoid travel'],2,real,misinfo,1/31/20,"Statment made by Matteo Salvini, italian politician and leader of Lega. The statment was published on official Salvini's Facebook, Twitter and Instagram account.",covid,,,,,There is no connection between the spread of COVID-19 and the irregular migration in the Mediterranean Sea.,"Statment made by Matteo Salvini, italian politician and leader of Lega. The statment was published on official Salvini's Facebook, Twitter and Instagram account.",https://www.poynter.org/?ifcn_misinformation=there-is-a-link-between-the-covid-19-and-irregular-migration-2,misinfo,https://pagellapolitica.it/blog/show/599/non-c%C3%A8-nessun-legame-tra-gli-sbarchi-di-migranti-e-il-coronavirus-cinese,6,MODIFY,There is a link between the COVID-19 and irregular migration.,FALSE,TRUE
Homemade Masks Do a Great Job Blocking COVID-19,"['people with the requisit skills should make masks at home instead of buying them in order to save money', 'diy masks are effective in preventing coronavirus.', 'crafty people can make effective masks at home']","['feel interested', 'feel relieved']","['make homemade masks', 'try to make their own masks']",2,misinfo,real,,webmd.com,covid,webmd.com,this website is using security service to protect itself from online attacks .. ,,"""""",,,,truinfo,https://www.webmd.com/lung/news/20200922/homemade-masks-do-a-great-job-blocking-covid-19,6,MODIFY,Homemade masks are as effective as medical-grade masks in preventing the spread of COVID-19.,TRUE,FALSE
"Due to the increase in excise tax by 70% for locally manufactured alcohol, the price of bottle of Arrack would be increased to over 3000 LKR, to discourage alcohol consumption once the liquor shops finally open after a long break due to COVID-19 precautionary measures.","['liquor shops will reopen', 'people will drink heavily when the pandemic ends']","['feel irritated', 'feel angry', 'feel outraged', 'feel indifferent']","['know when the liquor shops open', 'know why the tax was increased', 'protest against the government']",2,real,misinfo,5/12/20,FAcebook/WhatsApp/Twitter,covid,,,,,Excise department confirmed that there was no change in the duty for locally manufactured alcohol and the Arrack manufacturer also confirmed that the prices remain unchanged.,FAcebook/WhatsApp/Twitter,https://www.poynter.org/?ifcn_misinformation=due-to-the-increase-in-excise-tax-by-70-for-locally-manufactured-alcohol-the-price-of-bottle-of-arrack-would-be-increased-to-over-3000-lkr-to-discourage-alcohol-consumption-once-the-liquor-shops-fin,misinfo,https://srilanka.factcrescendo.com/2020/05/12/fact-check-no-price-revision-on-local-arrack/,5,MODIFY,The 70% increase in excise tax on locally manufactured alcohol will effectively reduce alcohol consumption in Sri Lanka after COVID-19 restrictions are lifted.,FALSE,TRUE
"Antiseptic From the 1950s May Be Effective in Fighting Coronavirus, Flu, HPV","['an antiseptic from the 1950s might fight covid, flu, and hpv', 'antiseptic from the 1950s can ward off disease', 'there are covid treatments']","['feel confused', 'feel skeptical']","['ask for the treatments', 'know more', 'want to stock up on antiseptic', 'want to find out more']",3,misinfo,real,,healthline.com,covid,healthline.com,obscure antiseptic called miramistin developed by soviet space program in 1950s may prove to have modern applications in fight against harmful viruses and bacteria. according to research compound is both environmentally friendly and superbug resistant. miramistins most potent clinical use is as topical antiseptic on wounds skin ulcers and skin infections. clinical trials will be required to determine if compound is effective on covid-19. all data and stat. ,obscure antiseptic called miramistin developed by soviet space program in 1950s may prove to have modern applications in fight against harmful viruses and bacteria. according to research compound is both environmentally friendly and superbug resistant. ,"""antiseptic 1950s Soviets effective treating infections coronavirus HPV HIV flu""",,,,truinfo,https://www.healthline.com/health-news/antiseptic-from-the-1950s-may-be-effective-in-fighting-coronavirus-flu-hpv,5,MODIFY,"The antiseptic chlorhexidine, developed in the 1950s, is effective in reducing the transmission of coronavirus.",TRUE,FALSE
Brain Affected in 1 in 3 Cases of Severe COVID-19,"['coronavirus is dangerous to human brains.', 'severe covid infection causes brain damage']","['feel scared', 'feel concerned']","['prevent the covid contraction', 'prepare']",3,misinfo,real,,webmd.com,covid,webmd.com,friday april 10 2020 healthday news -- a study out of china finds that strokes altered consciousness and other neurological issues are relatively common in more serious cases of covid-19. looking at 214 cases of severe coronavirus illness treated in wuhan city during the early phase of the global pandemic doctors reported that 36.4 of patients displayed neurological symptoms. sometimes these symptoms appeared in the relative absence of typical symptoms of covid-19 -- fever cough dia. ,a study out of china finds that strokes altered consciousness and other neurological issues are relatively common in more serious cases of covid-19 .. ,"""stroke, infections, infectious diseases, coronavirus, neurological, COVID-19""",,,,truinfo,https://www.webmd.com/lung/news/20200410/brain-affected-in-1-in-3-cases-of-severe-covid-19,5,MODIFY,"The neurological impact of COVID-19 is significant, with studies suggesting that up to one-third of severe cases experience brain-related symptoms.",TRUE,FALSE
Increasing border controls will stop coronavirus from spreading.,"['the government could limit the spread of covid by increasing border control', 'increasing border controls will stop covid from spreading', 'immigrants spread covid to the us and other countries']",['feel insecure'],['secure the border'],4.5,real,misinfo,3/6/20,Multiple politicians,covid,,,,,Neither the WHO nor the CDC estimate that closing borders will stop the coronavirus,Multiple politicians,https://www.poynter.org/?ifcn_misinformation=increasing-border-controls-will-stop-coronavirus-from-spreading-2,misinfo,https://www.newtral.es/la-propuesta-de-cerrar-fronteras-para-frenar-contagios-preguntas-y-respuestas/20200305/,6,MODIFY,Increasing border controls will significantly reduce the spread of coronavirus.,FALSE,TRUE
